title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
"‘Mostly positive, but can be quite challenging at times.’",Customer Service Representative,"Relatively high base wage for the position, reliable full-time work with fairly consistent shift times, and a mostly supportive culture. Good perks (high discount on your home gas/electricity bills for yourself and your family/friends).","A constantly changing workplace and a virtually schizophrenic commitment to changing and updating procedures and protocols. Just as you get used to one way of doing things, it's time to unlearn it all and start over.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Adelaide, South Australia, Australia",5.0,3.0,4.0,3.0,4.0,5.0,4.0,AGL Energy
‘Friendly and motivating place to work with great opertunities.’,Sustainability Analyst,The culture and the management style are great to work in. The environment allows for effective career progression and is very inclusive.,Can be a bit difficult working on contentious issues within the community. Can also get lost in the large number of employees.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,5.0,5.0,4.0,4.0,5.0,5.0,AGL Energy
"‘Great employer and working relationships, but be ready to work hard’",Manager,"Very progressive values align with mine; remarkable employee-friendly policies like working from home, casual dress, etc. Supportive, professional colleagues keep me going through stressful times. Amazing office environment.",Frequent restructuring and loss of people results in gaps in knowledge and processes and more work for those left behind. Extremely strict hot desk ('smarter working') policy is counterproductive- everyone is constantly looking for desks to work at throughout the day.,Recommends working here: Yes,Rates salary as: High,2 years ago,"Melbourne VIC, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,AGL Energy
"‘Great team, great work-life balance, lifelong friends, so happy I got to be apart of the amazing team at AGL’",Customer Service Representative,"Great team environment with a lot of support and on the job training. I have made some life long friends from working at AGL and was very sad to leave. The managers, even the centre manager knew most people's name and made the effort to get to know their staff and support them in everything.",You do have to meet targets but the rewards are worth it. If you don't achieve them they take the time to train you in the areas you are struggling with.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Eastwood, South Australia, Australia",5.0,5.0,4.0,5.0,5.0,5.0,5.0,AGL Energy
‘9 good years. Last 6month not great.’,Sales Support Manager,The people are great. It is a fun environment and if you are managed by a great leader then you will be able to develop yourself & your Career.,"There can be Silos, different business units have their own agenda. I have experience different area working on the same project. Management from leaders within different areas did not align with company values. It was surprising that some managers survived & were able to hide their poor leadership & ppl management skills.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",3.0,3.0,3.0,2.0,2.0,3.0,5.0,AGL Energy
"‘Good money, mixed Values, Bad People Skills’",Resolutions Consultant,AGL has a decent salary and benefits like cheaper electricity and gas. Some of the values they stand for like diversity aligned with mine and if you work hard the bonuses are great. Team culture when initially starting is great.,Flexibility with working arrangements if wanting to take a step back due to personal circumstances or study. High pressure to achieve results with unrealistic expectations. Customers are not at the centre of this organisations nor are customers friendly. I felt the environment very mixed and sometimes forced.,Recommends working here: No,Rates salary as: Average,2 years ago,"Adelaide SA, Australia",2.0,1.0,2.0,1.0,3.0,3.0,2.0,AGL Energy
‘Constantly changing work environment which becoming less personable.’,Manager,"The move towards flexible working is a plus, and the modern facilities in Melbourne (and Sydney in 2 years time) are real positives.","The recent change in CEO (who appears to have been brought in as an agent for sweeping change) is impacting on culture, with 20% OPEX reductions (read job cuts) promised to the board.  The old middle management team is responding, but is not really up to the job of such major change.",Recommends working here: No,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",2.0,4.0,4.0,2.0,2.0,2.0,2.0,AGL Energy
‘Superb orgnisation to work with.’,SAP CRM Functional Consultant,"Great work culture, amasing people and superb office infrastucture located above southern cross.","AGL believes in its people, process also need a bit more stringent to make daily business run smooth.",Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,5.0,5.0,5.0,4.0,5.0,5.0,AGL Energy
‘Great company that truly supported diversity and flexibility with employees’,Customer Experience Manager,Supportive environment that helped me grow and diversify my career.  Supported flexible working conditions that allowed me to live and work in separate states.,"The industry is changing very quickly and requires the business to change quickly, this was constantly changing the shape of the workforce and the skills and structure required to support that workforce",Recommends working here: Yes,Rates salary as: High,4 years ago,,4.0,3.0,4.0,4.0,2.0,5.0,4.0,AGL Energy
"‘I worked as a contractor for 1 year and this is probably the best company I've worked for in terms of professionalism, work-life balance and management. I was working with the brightest people I've worked with and felt like I was part of a team instead of’",Developer,"Great work life balance, office space, people, management, culture of inclusion and diversity.","If I was a permanent employee, I would probably be wondering on how I can grow vertically and horizontally. Not a clear enough growth plan",Recommends working here: Yes,Rates salary as: High,6 months ago,"Melbourne VIC, Australia",4.0,5.0,5.0,5.0,5.0,5.0,5.0,AGL Energy
"‘Initially a great culture supported by management that had a clear focus. However, recent changes in management have resulted in a lack of direction and confusion.’",Product Manager,Initially a very good culture.  Recruitment places a heavy emphasis on the candidate's character.,"Multiple agendas and a dynamic market have resulted in frequent and sudden changes of direction.  This has led to confusion and frequently inadequate timeframes to deliver quality.  Prioritisation of projects has also been a challenge, with some low value projects securing heavy resource allocation.",Recommends working here: Yes,Rates salary as: Average,3 years ago,,3.0,2.0,3.0,2.0,3.0,3.0,3.0,AGL Energy
"‘Don't apply if you want development, understanding and to actually help people.’",Customer Resolutions,The pay was good for what you are doing. The people that you work with are usually pretty fantastic too. That is about it,"It is all about the money. There is little to no flexibility and it doesn't account for the individual - we are all just numbers. While they say it is a customer service based industry, it is nothing more than sales, sale, sales.",Recommends working here: No,Rates salary as: High,4 years ago,"Adelaide, South Australia, Australia",2.0,3.0,1.0,1.0,3.0,2.0,1.0,AGL Energy
"‘Fast paced, hard work, rewarding environment’",Customer Resolution Specialist,A company that really cares about its employees. Staff engagement is one of the most important things to AGL and they always endevour for you to both be rewarded and feel appreciated for your work,The job it self can be quite emotionally draining. It is a fast paced environment which requires a thick skin at times due to the type of enquiries you can receive. There is also a high focus on KPIs,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Canberra ACT, Australia",3.0,3.0,5.0,4.0,5.0,5.0,4.0,AGL Energy
‘Some positives and negatives. Hoping we can focus on what matters and double down for the long-haul; rather than whatever cause is trending and will get our CEO's good corporate 'feels'. ’,Project Manager,Work life balance is sound. AGL have worked hard to offer a number of employee benefits to retain personnel. ,"Senior and middle management oscillating between business models every two years to present the illusion of needed and meaningful change.

Management are not well versed in articulating a coherent and substantive vision for many in AGL's employ to get in behind and buy into. 

Senior Management seems to focus on out-performing all feel-good  -quasi-corporate / social issues; rather than well laid out business structures and flows, formed under a vision that will take AGL to the agile space it will need to occupy in the mid 2020's when peaking demand will be at its highest. ",Recommends working here: No,Rates salary as: Average,9 months ago,"Melbourne VIC, Australia",3.0,4.0,3.0,1.0,2.0,2.0,2.0,AGL Energy
‘Customer Service’,Resolutions Agent,"Salary is decent, it's fairly consistent work in terms of hours, the staff are great to work with and they're always looking at different ways to make things fresh and new. They constantly run competitions, have bi-annual awards nights, the parties are awesome.",The customers can be really difficult and there's a strong expectation to meet sales every month.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,3.0,3.0,3.0,4.0,4.0,4.0,AGL Energy
"‘The culture encourages an open mind, intuition and to be supportive to colleagues.’",Health Safety And Environmental Advisor,"Flexible working, friendly colleagues, and supportive managers that encourage autonomy and innovation. Great building in Sydney, centrally located. Opportunity for career development but need to push your own development.","Some times long hours, fast paced so mental exhaustion occurs at the end of the day.",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Sydney, New South Wales, Australia",4.0,3.0,5.0,5.0,5.0,5.0,5.0,AGL Energy
"‘Between politics, overly complex procedures and lack of management support, I was sapped of Energy. Every pun intended.’","Manager, Group Financial Services","> Mature HR policies
> Great physical work environment","> Overly complicated processes given the simplicity of its structure
> HR policies are not applied equally
> Empathy is a learned characteristic amongst top finance managers
> Career development is based on being liked rather than good/ great performance
> Very political internal environment
> At that time, high levels of organisational inertia",Recommends working here: No,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",2.0,3.0,4.0,1.0,3.0,3.0,3.0,AGL Energy
‘Best workplace I've ever experienced’,Product Management,"Work/Life balance is really emphasised and encouraged, great place for those with families and in fact most of the people I work with have families and have one day a week to work from home. There's a big focus on output as a measure instead of face-time in the office.","It's a slower pace than I'm used to and I constantly feel like I should be doing more, which is very much a personal thing and not on AGL",Recommends working here: Yes,Rates salary as: High,3 years ago,Melbourne,4.0,5.0,5.0,4.0,3.0,4.0,5.0,AGL Energy
‘Great work life balance’,Mechanical Engineer,"Flexibility and work life balance are second to none. I’m still amazed by how amazing AGL when it comes to flexible work options. 
Executive leadership team are wonderful.",Limited opportunities for career progression. Middle management struggle with leadership.,Recommends working here: Yes,Rates salary as: Average,2 years ago,Australia,2.0,5.0,4.0,3.0,3.0,5.0,4.0,AGL Energy
‘Great people and great place to work.’,GM Commercial Development & Head Of Upstream Gas Finance,"The only genuine values-driven organisation I've ever worked for. Senior management comes and goes, but the culture remains strong and most employees are engaged.",Organisation faces significant challenges on many fronts as gas and electricity markets deal with disruptive technologies and new entrants over every next decade.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"North Sydney, New South Wales, Australia",4.0,5.0,5.0,4.0,3.0,5.0,5.0,AGL Energy
‘Great place to work if you like the environment where you are encouraged to 'Play the Game' and enjoy lots of Corporate Speak & Meetings’,Senior Credit Analyst,Supportive company who actively harnesses and develops talent and has a good work/life balance.,"Very Leftist \""Participation Award\"" environment and are very quick to adopt the latest flavor of the month in the Corporate world, lots of Window Dressing that looks good in a Brochure but is actively forced upon staff and anyone who does not agree or is not supportive of the latest Community, Environment or Social agenda initiative is somewhat frowned upon.",Recommends working here: Yes,Rates salary as: High,2 years ago,"Melbourne City, Victoria, Australia",5.0,4.0,4.0,3.0,3.0,5.0,4.0,AGL Energy
‘It was good’,Customer Service Role,Environment Was good,Everyday is a new day,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Adelaide SA, Australia",2.0,3.0,4.0,4.0,3.0,5.0,4.0,AGL Energy
‘A great place to work if you want drive change and make an impact.’,Digital Consultant,"Great people, great environment. Good opportunity to work on a range of different projects.","Not exactly fast. Some processes were a little dated, however they were in the process of moving to agile.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,4.0,5.0,4.0,3.0,4.0,4.0,AGL Energy
"‘A highly political company, with careful strategic use of the branding & marketing teams to appear authentic. ’",Project Manager,"D&I, specifically family & domestic issues, valuable education & training, on site. Considerable funding was provided. ","Ongoing strong focus on casual employment, including people employed full time for up to 8 years. Also, a culture had developed that thrived on excessive & ongoing kaos, driven by Corporate senior management KPI’s. ",Recommends working here: No,Rates salary as: High,6 months ago,"Loy Yang VIC, Australia",4.0,2.0,2.0,1.0,1.0,3.0,2.0,AGL Energy
‘Everything you do and say is monitored to the extreme - perform perfectly and get perfect sales every month and you will do well - otherwise you will be replaced by someone in the Philippines’,Customer Resolutions,If you can jump through the hoops they set up you will be well rewarded with treats ... just ensure you keep performing,Treated like a number in a call centre that might as well have a revolving door on the front of the building.,Recommends working here: No,Rates salary as: Average,4 years ago,"Adelaide, South Australia, Australia",1.0,3.0,3.0,3.0,4.0,3.0,1.0,AGL Energy
‘If the jobs right it would be a great place to work.’,People Manager,"Great place to work with great people, workplaces and technology.",Leadership can be poor based on the area. Board and CEO have great vision however direct reports are of varying capabilities but those who have been there a while are very poor.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",4.0,2.0,5.0,2.0,3.0,5.0,4.0,AGL Energy
"‘The working enviroment was warm, friendly and approachable. I'd be happy to go back there to work if the right role came up withing Marketing.’",Markeing And Communications Manager,Very friendly environment to work within,Some marketing/business activity was not managed end to end so by the time we'd reach a solution for implementation we'd realised the business had not addressed the whole customer experience and lots of gaps were found.,Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,2.0,3.0,4.0,3.0,4.0,4.0,AGL Energy
‘Under Construction - Check back in FY20’,Information Technology,Pay is high. Focus on women in IT. Full of talented people. Discounted Energy Bills.,Always looking to implement the next shiny new technology with no thought or effort on how to integrate with last month's projects. Strategy on the fly. So much going on that projects can't gain access to a clear schedule of change - collisions everywhere. Latest restructure has angered the talent pool and good people are now leaving to go elsewhere. Technical debt is reaching critical levels.,Recommends working here: No,Rates salary as: High,1 year ago,"Melbourne VIC, Australia",1.0,4.0,2.0,1.0,3.0,4.0,1.0,AGL Energy
‘Making the move to apply at AGL was a great decision I do noy regret 3 years on’,Customer Service,"Great culture, supportive environment, salary of a high standard",The industry itself can be challenging to work in at times,Recommends working here: Yes,Rates salary as: High,4 years ago,"Adelaide, South Australia, Australia",4.0,4.0,5.0,4.0,5.0,5.0,5.0,AGL Energy
‘Developing and fulfilling’,Business Analyst,"Good building
Great team members",Tough opportunities to progress,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,4.0,4.0,4.0,3.0,3.0,4.0,AGL Energy
"‘Awful, couldn't wait to leave’",Call Centre Agent,"Good training, reasonable office environment","Pressured into achieving kpi's where the number of calls taken (in call centre), was more important than good service and accuracy",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,3.0,3.0,1.0,2.0,3.0,1.0,AGL Energy
‘Ok for someone who is mentally strong and just wants to do a job and pay the bills. ’,Customer Service Representative,Newly renovated office,Unrealistic sales targets and KPIs. Bad leadership skills. ,Recommends working here: No,Rates salary as: Average,1 year ago,"Adelaide SA, Australia",2.0,3.0,3.0,2.0,3.0,2.0,2.0,AGL Energy
‘Delivering quality outcomes comes with the territory.’,Lead Digital Developer,Great office environment and location. Great teams.,"With a focus on an Agile delivery utilising SAFe - the new framework is not the easiest to get \""buy-in\"" across all tiers of the business.",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",5.0,4.0,5.0,4.0,5.0,5.0,5.0,AGL Energy
‘Has potential’,Technical Lead,Work life balance and friendly people,Outsourcing and not technologically advanced,Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,5.0,4.0,4.0,4.0,4.0,4.0,AGL Energy
‘Excellent place to work ’,Customer Service Representative,The support and understanding of management ,Seperating personal life from work at the time,Recommends working here: Yes,Rates salary as: Average,1 year ago,"Adelaide SA, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,AGL Energy
‘Great company’,HR,Great people good culture,Long hours a lot of travel some good leaders some bad depends on who you get,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",3.0,4.0,4.0,4.0,5.0,5.0,3.0,AGL Energy
‘Good place and genuine people work balance cup’,Project Manager,Positive culture and people,Beaucracy and not as nimble  as similar placed organizations,Recommends working here: Yes,Rates salary as: High,4 years ago,,3.0,4.0,5.0,4.0,2.0,3.0,4.0,AGL Energy
‘Enjoyable’,Data Entry Role,Great people and environment,Was only a contractor there so hard to say,Recommends working here: Yes,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",5.0,4.0,5.0,5.0,3.0,5.0,4.0,AGL Energy
‘Great team with a lot of potential.’,Senior Engineer,Good company and CEO with a vision.,Old team members wanted to do their own way.,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Sydney NSW, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,AGL Energy
‘Could have been better ’,Information Technology Manager,"Location was great , very convenient ",The management was caught up in the politics which reflected on the culture ,Recommends working here: No,Rates salary as: Average,6 months ago,"Sydney NSW, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,AGL Energy
‘Good enviorment well paid’,Resolution Consultant,Brand new building,KPI's reduce almost un achievable,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbou, Victoria, Australia",4.0,3.0,5.0,3.0,3.0,4.0,4.0,AGL Energy
‘Micro management at micro level.’,Customer Resolutions,Great Xmas parties and award nights.,Doing the right thing by the customer and the business at the same time.,Recommends working here: No,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",2.0,2.0,2.0,1.0,2.0,5.0,2.0,AGL Energy
‘Would have been better if I was related or a friend of management’,Power Factor Correction Specialist Really A TA,Working to suit family life,Low pay don't listen to new ideas poor communication poor safety,Recommends working here: No,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",1.0,4.0,1.0,2.0,2.0,1.0,1.0,AGL Energy
‘Standard call center experience. Draining and pointless.’,Customer Resolutions,"Good Salary, Job security, Good perks, Great Amenities","Angry customers = negative atmosphere, Self motivation, no social aspect.",Recommends working here: No,Rates salary as: High,1 year ago,"Docklands VIC, Australia",1.0,1.0,2.0,5.0,5.0,5.0,3.0,AGL Energy
‘Poor support from management.’,Customer Service Representative,"Lovey colleagues, great location","Very sales focussed,",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,3.0,3.0,2.0,3.0,3.0,2.0,AGL Energy
‘I enjoy working at AGL as they always have plenty of opportunities and projects to be a part of.’,Project Manager,Great smarter working office,Hiring the wrong people in some IT roles,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",2.0,4.0,4.0,3.0,3.0,4.0,4.0,AGL Energy
‘Superb place to work’,Test Lead,Fatastic work environment.,Huge amount of work within a limited period of time,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",4.0,4.0,4.0,4.0,3.0,4.0,5.0,AGL Energy
‘Great company with good people & would work there again.’,System Administrator,Committed to diversity & work/life balance.,Moving to being an energy tech company and is challenging how it does business.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,4.0,4.0,4.0,5.0,4.0,AGL Energy
‘Overall have enjoyed majority of time employed.’,Customer Service Team Leader,Good benefits and working environment.,Minimal career opportunities in Adelaide unfortunately.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Adelaide, South Australia, Australia",3.0,3.0,4.0,3.0,4.0,4.0,4.0,AGL Energy
‘Anguish.’,Call Centre Respresentative,The training was thorough.,They treat call centre staff like filth. They make it impossible to have a genuine sick day. They REFUSE to let you take a proper holiday. You are made to come in. It is impossible to travel.,Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",1.0,3.0,1.0,1.0,3.0,4.0,1.0,AGL Energy
‘Love the digital team and its people’,Technical Business Analyst,Culture and work life balance,Too many things at a time.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",4.0,5.0,4.0,4.0,4.0,4.0,4.0,AGL Energy
